genome_length,gc_content,orf_count,resistance_gene_count,virulence_factor_count,crispr_present,label
3835561,49.83321410497422,4038,7,6,0,High
3079873,45.60733747301328,3225,0,0,0,Low
4573027,55.66772493624557,4795,2,1,0,High
2510490,60.160902696254354,2657,1,0,1,Low
5327049,50.43054461723155,5641,2,4,0,High
3352787,47.67596038351482,3576,0,0,1,Low
3309184,52.44075398463146,3437,1,0,0,Low
5528848,52.51692972810831,5770,3,3,1,High
4216816,36.84202175670121,4483,2,0,1,Low
2968121,53.053520978429034,3100,1,1,0,Low
3593854,54.910628816321235,3828,0,0,1,Low
4834464,50.81168950413488,5064,4,6,0,High
4424020,53.94426507974451,4612,1,0,1,Low
2304460,41.88119199783244,2462,0,1,1,Low
4453597,44.07080904806384,4686,0,0,1,Low
3448661,43.542763862138266,3630,0,0,1,Low
3675250,54.302397215246636,3853,0,0,1,Low
3084607,46.04167489224017,3274,0,0,1,Low
4400896,56.07414971060158,4672,2,4,0,High
3944478,44.69751607701162,4163,0,0,1,Low
2817559,50.19878247337486,3011,1,0,0,Low
4110711,43.75301233059639,4358,1,1,1,Low
4684399,46.25661044316639,4945,5,3,0,High
2958991,45.96798567669745,3107,0,0,1,Low
4024429,57.6473689680714,4248,0,2,0,High
3419142,48.380421065162956,3552,0,0,0,Low
6027948,53.75492913278138,6298,5,3,1,High
3274815,50.4410858108387,3493,0,0,1,Low
3867110,53.57609290360532,4075,0,0,1,Low
3274922,30.582436068590727,3485,1,0,0,Low
3354961,43.75520868573914,3520,0,0,1,Low
3867374,39.226626164873714,4079,1,0,1,Low
3785610,61.80132584177156,3937,1,1,1,Low
4376464,52.08690232701682,4577,1,4,1,High
4174912,62.77017010310894,4395,2,0,0,Low
3795860,54.97028761217712,4039,0,0,1,Low
4286374,45.595275204753705,4534,6,5,0,High
3490932,49.75970657402911,3642,0,1,1,Low
4477279,47.96557872916306,4668,5,2,1,High
4065728,41.14082805989977,4233,0,0,0,Low
4505945,52.77074296922035,4789,4,1,0,High
4230512,48.01479497692512,4485,0,0,1,Low
4382114,53.32265714040857,4659,0,3,0,High
3797205,44.694057654937296,3966,1,0,1,Low
3565371,44.753667564431524,3793,0,1,0,Low
2678399,40.158592626307694,2803,0,1,0,Low
3318206,49.32480596755522,3533,0,0,1,Low
5083035,51.759683228413245,5334,6,3,1,High
3693545,36.75975582557699,3855,0,0,1,Low
4665814,53.426518464406406,4949,2,4,0,High
3742778,38.300918396827804,3899,0,0,1,Low
3361414,47.740322472671195,3549,0,0,1,Low
3692606,54.72411423853557,3836,1,0,0,Low
4753082,49.86041184871562,4953,6,8,0,High
4582760,54.32772377092391,4791,1,0,1,Low
2817644,36.2753693808853,2936,0,0,1,Low
3485444,45.99381158901148,3643,0,0,1,Low
3795858,51.41624494094227,3999,0,0,0,Low
5260175,46.160060807283216,5528,4,5,0,High
4229216,48.4882561921092,4455,0,0,1,Low
3344728,52.59773740505359,3513,0,1,1,Low
3243407,44.89220769303309,3448,1,0,0,Low
4090635,48.752154333707345,4286,0,1,1,Low
4162743,45.745166713039296,4402,0,0,0,Low
2992769,48.400593238387884,3110,1,0,1,Low
3183867,56.2629592114723,3314,0,0,1,Low
4706471,52.38184816543318,4922,4,3,0,High
4036947,45.76359127540668,4201,1,0,1,Low
5114165,53.4286469445762,5392,3,2,0,High
4735737,41.68627418215905,4984,0,0,1,Low
3340759,51.24378435707151,3475,0,0,0,Low
5449804,52.350741572250314,5768,7,2,0,High
4387707,49.84641161297053,4588,0,0,1,Low
5637135,48.396315525783386,5915,4,4,0,High
4892917,52.75396729186547,5130,5,5,0,High
3586884,42.89541090787363,3794,0,0,1,Low
3280466,46.036544082229504,3424,0,1,1,Low
3762020,42.37278238103016,3918,0,0,1,Low
4273417,53.388185830387485,4506,4,4,1,High
2660175,42.87646491978464,2800,1,0,1,Low
3075771,48.30625757002947,3243,1,0,0,Low
3211731,50.13827995607894,3353,0,0,0,Low
2947774,50.60124966283517,3136,0,0,0,Low
5199801,56.76782387057189,5517,4,2,0,High
5026497,53.97681175171992,5338,7,5,0,High
5689694,57.45213258851038,5959,3,3,0,High
3639062,38.24464783575302,3785,1,1,1,Low
4969157,47.46247529686037,5257,3,3,0,High
3722295,50.60301144053326,3912,0,0,1,Low
3360193,47.23680369610534,3565,0,0,1,Low
3310629,40.07127083411291,3448,1,0,1,Low
3072258,46.35823433764039,3277,0,0,1,Low
2781243,49.70296418537558,2959,2,0,0,Low
3416520,41.0185266000059,3642,0,2,1,Low
4395714,53.47621268102067,4584,3,6,1,High
3663344,40.58525153096144,3849,1,1,0,Low
3939576,48.69369466111923,4184,1,0,1,Low
4620760,51.20865257265153,4815,2,5,1,High
5527374,59.52304458481059,5814,7,3,0,High
3727193,49.37980268173278,3960,0,0,1,Low
4093713,51.12737994386725,4308,0,0,1,Low
3062759,39.5724145637605,3229,1,0,1,Low
3053091,41.375846199165686,3239,0,0,1,Low
3674129,54.30274968184175,3872,0,0,1,Low
5394905,61.83380137200567,5690,2,2,0,High
4133775,54.525674425089626,4334,6,1,1,High
3453397,43.683526723039186,3641,1,0,1,Low
3098567,48.20861408755961,3234,0,0,1,Low
3494895,49.69044329079773,3647,0,0,1,Low
3316488,45.6575448814702,3453,0,0,1,Low
4056231,43.477265456422636,4249,1,0,1,Low
4860739,53.256090409944456,5130,1,1,0,High
3413401,37.800088187764565,3641,0,0,0,Low
4525787,42.885791255747996,4720,1,0,1,Low
3369359,49.49883756018822,3517,1,1,1,Low
2703948,51.6762883871794,2858,0,1,1,Low
3871263,43.64665870194319,4045,0,0,1,Low
3376178,49.68824480361151,3569,0,1,1,Low
4781050,52.296742446088665,5074,3,0,0,High
4024198,54.65309711214811,4250,4,3,0,High
4490379,57.27505631318283,4699,2,3,0,High
3741683,57.91501778455772,3942,0,0,1,Low
3027565,48.74374759503538,3158,0,0,1,Low
4615718,56.15599088660902,4820,1,5,0,High
3112865,46.658000569179336,3312,0,0,1,Low
3207636,37.396288775990406,3331,0,0,1,Low
4674554,53.699334409495755,4895,0,0,1,Low
4863503,49.46028361664709,5073,6,5,1,High
4589208,56.18022458092482,4817,2,5,0,High
2711017,48.03052219308886,2816,0,0,1,Low
4322780,54.02766288054524,4509,2,5,1,High
5063451,45.33998705967665,5354,4,4,0,High
4629829,51.09710947355146,4904,4,4,0,High
3277407,46.45566440229042,3406,0,0,0,Low
3241363,44.99894382504024,3403,0,0,1,Low
4551484,48.18736998097963,4745,3,5,1,High
5117507,55.493952851542694,5407,0,6,1,High
4370087,57.19835391066083,4634,2,8,0,High
3018929,48.00134368797473,3174,0,0,1,Low
3914251,36.79461638136746,4136,0,0,0,Low
4009934,50.79160564063287,4186,0,0,1,Low
2966864,43.084258286541484,3116,0,0,1,Low
4231187,34.00656890882206,4432,0,0,1,Low
2944553,52.36314918209881,3093,1,0,1,Low
2762853,41.78578393312133,2950,1,1,1,Low
3640999,56.6571304188677,3851,1,0,0,Low
3398949,48.769347249022935,3570,0,0,1,Low
4004235,55.80147889935424,4175,1,0,1,Low
3597066,40.268449749734444,3814,0,0,0,Low
4288494,53.55551628003868,4544,0,0,1,Low
4999356,50.51991013665102,5213,1,1,1,High
5749263,52.41508208432303,6010,4,4,1,High
3418677,50.03149854531817,3638,0,0,1,Low
3997728,43.45534892930345,4227,0,0,0,Low
3825411,56.022798571197484,4003,1,0,1,Low
4697078,47.26065952242761,4913,0,0,1,Low
3311881,48.45302155942969,3459,0,0,1,Low
4107472,48.63462230114474,4349,0,0,0,Low
4036280,45.98570740167092,4291,4,4,0,High
2951673,52.57837209443132,3063,0,1,0,Low
5126657,51.24170521806938,5374,2,3,0,High
3600754,50.77698043936001,3830,0,0,1,Low
3992911,61.71573895230762,4252,3,3,1,High
3083761,48.572101645996675,3234,1,0,1,Low
3349951,53.994510359897376,3481,0,0,0,Low
5142357,47.69218183648822,5445,3,5,0,High
3131283,48.149819180291786,3320,0,0,1,Low
5569200,49.06651538231428,5886,5,8,1,High
3963717,57.62774824832968,4122,0,0,1,Low
3007793,28.6046074049254,3118,0,0,1,Low
3847224,45.939575575785994,4010,0,0,1,Low
3261105,49.812901424591146,3430,0,0,0,Low
3662742,54.59750678596602,3828,0,0,1,Low
3387772,54.102347867738025,3562,0,0,1,Low
3728587,51.78981125892401,3902,0,0,1,Low
3260088,29.732027009561286,3460,0,0,1,Low
3520637,48.092388726666826,3742,0,1,1,Low
4176719,45.47572949922009,4353,1,6,0,High
4321561,53.19015454088096,4586,3,3,0,High
5265266,49.35663521298968,5540,1,3,1,High
4201197,44.35505421945841,4411,0,1,1,Low
2713185,50.23248887200432,2813,2,0,1,Low
3640977,39.42161606258395,3813,1,0,1,Low
4219319,50.580468530664525,4432,4,3,0,High
3309381,46.75702986543576,3484,1,0,1,Low
3898085,37.2280254915776,4102,1,0,0,Low
3272058,50.7724455353851,3491,0,0,1,Low
4774959,57.886835593447564,5025,3,11,0,High
5434522,50.849224845060604,5683,3,5,0,High
5345780,53.18134692513111,5669,0,2,1,High
3161494,45.75365980075851,3292,1,0,0,Low
3411881,48.888727886034616,3576,0,1,1,Low
5576414,45.546642393002145,5851,2,1,0,High
4451000,51.93942898651895,4666,0,0,0,Low
3201981,50.283932528161664,3402,0,0,0,Low
4909414,51.00972629435362,5185,5,3,1,High
3843951,45.9170311054893,4071,1,0,0,Low
3856538,37.01798099360094,4061,0,0,1,Low
3376783,50.551152842220546,3509,0,0,0,Low
3361774,45.331853199897154,3513,2,0,1,Low
4071968,53.612352900297765,4253,2,0,0,Low
3876241,44.47134840645414,4031,1,0,1,Low
3375836,48.63138463667656,3551,1,0,0,Low
3883573,51.72505048820003,4051,2,0,0,Low
2843755,49.44845469822028,3012,0,0,1,Low
2920029,51.61359157264751,3122,1,1,1,Low
3255672,46.40486822731885,3408,0,0,1,Low
4259814,49.833014979958044,4456,3,4,0,High
2817904,60.82035381429056,2984,0,0,1,Low
3608359,39.49905883230486,3844,2,0,1,Low
3324359,49.37856677093609,3479,0,0,1,Low
4483003,50.5601263143035,4757,1,4,1,High
3748027,46.455559318089875,3934,0,0,1,Low
4700168,54.97811843320561,4926,7,2,1,High
2876233,49.73608026566389,2999,0,0,1,Low
4656766,43.201540549293284,4912,0,0,0,Low
4237241,50.4516644853835,4506,0,0,1,Low
3688614,41.805210144191385,3869,0,0,1,Low
2911484,57.374127056239374,3028,1,0,1,Low
3036179,50.46912669799861,3189,1,1,1,Low
4769111,52.653711281544524,5052,3,4,0,High
4525608,42.45661730087595,4741,0,1,0,Low
2554347,51.2018125668305,2650,0,0,1,Low
5128660,53.257069687204734,5375,5,3,1,High
3470410,43.34686890372893,3637,0,0,0,Low
4187527,41.174132374384335,4360,1,0,1,Low
3886716,52.71927285920592,4139,2,2,0,High
3667491,59.0394659950133,3892,0,0,1,Low
3483210,50.75672831381214,3702,1,0,0,Low
5311380,53.21158105017172,5556,0,1,1,High
5010438,51.36644042195979,5254,0,2,1,High
3316123,52.59706558572731,3491,0,0,0,Low
3481122,48.804144397085075,3701,0,0,1,Low
5253417,46.19266101932626,5556,1,3,0,High
2749595,49.37423056819734,2933,0,0,1,Low
3065711,42.5679186986068,3258,0,0,0,Low
5120939,50.467620315360826,5394,2,3,1,High
4857408,57.01127480277791,5089,0,0,0,Low
2664266,53.1050428970572,2789,0,0,1,Low
2843236,48.23741834480189,2999,3,0,0,Low
3526704,40.12706278938457,3737,0,1,1,Low
4677976,54.00884018282803,4905,2,7,1,High
4172399,44.59513385128997,4404,1,0,1,Low
4398091,48.97376555184524,4587,1,4,1,High
3854133,52.65405179769414,4096,1,0,1,Low
3407950,41.93450851438711,3579,0,0,1,Low
3177552,43.623377706914106,3387,0,0,1,Low
4878817,53.28064004691992,5175,1,7,0,High
3299869,57.76831745009274,3430,2,0,0,Low
3003565,44.704568080124545,3144,0,2,0,Low
3737138,53.004288290850596,3917,2,0,1,Low
5196697,50.55693434721463,5468,5,13,0,High
2790816,49.48664821131511,2959,0,0,1,Low
2787514,42.15328471433823,2972,0,1,1,Low
3627353,42.45668877611579,3829,1,0,1,Low
3574915,56.79258092596633,3740,0,0,1,Low
4282412,44.147113242715854,4507,0,0,1,Low
3942547,60.30119635230008,4189,0,0,1,Low
3878764,53.917400371653606,4097,0,0,0,Low
4686668,54.59659088428168,4962,4,3,0,High
4805523,47.34100403066512,5079,4,2,1,High
5102566,50.878869147691276,5418,4,6,0,High
3565209,45.94780783520796,3761,3,0,0,Low
4414691,58.08256038406818,4658,6,1,0,High
5251390,50.131001711603105,5561,1,3,1,High
4789986,46.12149579541395,5068,4,3,1,High
3830054,40.61589670739764,4028,0,1,0,Low
4960238,43.709324198744,5194,6,4,0,High
4773994,49.126307041260624,5070,6,5,1,High
3402334,46.64880897077749,3616,0,0,1,Low
4752338,49.748165074362106,5050,7,2,0,High
3189103,37.81381085892698,3312,0,0,1,Low
5349731,50.59335926466314,5642,5,6,0,High
4864583,50.46664938319765,5086,3,4,0,High
3876354,52.699621301620375,4119,1,0,1,Low
2664048,43.71171899315183,2790,1,0,1,Low
3507478,45.40828902050439,3740,0,0,1,Low
2940823,48.6588441171416,3050,0,0,1,Low
4952166,51.02475310922509,5236,2,4,0,High
3204426,49.9720940969789,3349,1,0,1,Low
5345422,50.63243570833811,5632,4,5,1,High
2632256,46.72270550453613,2730,0,0,0,Low
3140054,47.3867593742915,3279,2,1,1,Low
4925825,56.44476964581711,5152,5,2,0,High
2561660,43.20568396815752,2664,2,1,1,Low
3562754,39.53054588924962,3760,0,0,1,Low
3988631,49.07817228663724,4186,0,0,1,Low
4382992,50.607916784403,4635,0,0,1,Low
4129658,48.31967226338922,4300,1,0,1,Low
4844383,53.32531700824323,5116,2,7,0,High
3463152,49.91239111261778,3653,1,0,1,Low
3550711,43.477754130829524,3700,0,1,1,Low
3898927,46.66785515428895,4121,0,0,0,Low
3134407,38.885368252544616,3321,0,0,1,Low
5356931,40.80014278962565,5685,6,3,0,High
3338488,52.116759805345424,3527,0,0,0,Low
4727227,46.41522673581646,4996,6,3,1,High
2674660,49.052219261083934,2784,0,1,1,Low
4549923,54.128089729091144,4812,5,6,0,High
3886151,48.9529553952579,4040,0,0,1,Low
3936533,51.65390667895461,4176,0,0,0,Low
5015766,51.146756182206175,5296,4,4,0,High
3464976,52.3525129629466,3621,0,0,0,Low
5140665,51.27187515346688,5454,5,8,0,High
3171982,54.66978884484631,3370,0,0,1,Low
4229137,55.0769262160506,4490,4,8,1,High
3825115,42.11252430839598,4050,1,0,1,Low
3342595,49.956455081048034,3470,0,1,1,Low
3226916,39.51322193180208,3399,1,0,0,Low
4310387,45.66874050370174,4551,0,0,1,Low
3488845,50.06132746223962,3662,2,0,0,Low
2932886,45.24479001369348,3078,1,0,1,Low
2358380,46.719403817472454,2439,2,1,1,Low
3792181,42.232107649394294,3983,0,0,1,Low
3668451,50.71364626589147,3826,0,1,1,Low
3321786,38.84888738002681,3530,0,0,0,Low
3813472,52.48440716949543,3991,1,0,1,Low
3334250,48.48217395577818,3474,1,0,1,Low
3592561,53.887479180386585,3830,1,1,1,Low
2644912,54.223028835192025,2818,0,0,1,Low
2535095,47.4854823142772,2644,0,0,0,Low
4230276,50.652204309485356,4447,3,3,0,High
3425411,52.59031016137849,3564,1,0,0,Low
4719937,49.80745488054834,4952,0,0,1,Low
3999752,53.2401703897696,4213,0,2,1,Low
3028378,42.44726851140565,3227,1,1,1,Low
3418399,44.5906749797215,3637,0,0,1,Low
3414290,50.41790119354383,3625,5,3,0,High
3223237,50.872943460046876,3348,0,0,1,Low
4688403,50.38012744967967,4902,4,3,0,High
3690675,48.24727665016801,3890,0,0,0,Low
3601741,39.535186289454245,3799,1,0,0,Low
3593391,40.22034745074977,3757,0,1,1,Low
4062878,48.738304719352676,4269,0,0,1,Low
4596924,48.21206893753061,4885,6,4,1,High
4925911,53.952308610079584,5211,1,4,0,High
5119092,52.85090448476714,5365,6,3,1,High
3944336,46.039192860873875,4143,5,3,0,High
4335631,49.50896201965195,4516,2,1,1,Low
4572338,54.44428501666734,4819,3,6,0,High
4374510,54.002993463907366,4577,0,2,0,High
4535593,46.90517111697896,4729,0,0,1,Low
2489632,51.559010859413384,2622,0,0,1,Low
3619773,59.37194345371302,3814,1,0,1,Low
4047984,49.18590407333154,4223,0,6,0,High
2761168,48.99144388271232,2891,1,0,1,Low
3443009,47.93280497124138,3621,0,0,1,Low
3718978,54.145381403563306,3899,0,0,1,Low
3335555,52.31596561097663,3551,0,1,1,Low
4753242,50.61762043971819,4955,3,3,1,High
2978535,50.214312291539805,3110,1,1,1,Low
2421045,50.88910172566793,2591,0,0,1,Low
3187242,50.72393438627727,3321,0,0,1,Low
4349534,60.34049784510813,4604,2,4,1,High
4454824,51.656544396808954,4716,1,1,1,High
3947468,51.15435307763436,4171,0,0,1,Low
3958655,36.270887525213126,4134,0,1,0,Low
4171177,52.730251962781374,4393,6,4,0,High
3334266,52.84988358598152,3515,0,0,1,Low
3726034,35.966608512558814,3923,1,0,1,Low
4110357,45.39989666949284,4338,0,0,0,Low
5269814,52.8698802455671,5524,4,4,1,High
3179635,34.645599975666656,3394,1,1,1,Low
4528677,46.54140747345245,4738,6,2,1,High
3900161,57.75810161908876,4063,0,0,1,Low
3480084,56.325785284704274,3677,0,0,0,Low
3870308,50.9251723950028,4110,4,3,0,High
4027685,47.2069783729749,4253,0,1,0,Low
3178182,47.84803109603898,3327,0,0,1,Low
3012333,48.76540939832347,3136,0,0,1,Low
3178376,48.96636363847741,3313,0,0,1,Low
3110706,51.864389537743335,3279,0,1,1,Low
4971134,48.359413303774474,5200,9,6,1,High
4714012,48.24125873527478,4952,4,4,0,High
4062253,34.004727952482746,4278,0,0,1,Low
3135835,52.60916476863509,3342,1,0,1,Low
2569091,47.0285156765697,2737,0,0,1,Low
3673409,41.94658567316272,3877,0,1,1,Low
5174969,45.25249219450779,5428,3,0,1,High
2933522,49.94877351902759,3117,0,0,1,Low
3077661,48.37040805876178,3215,0,0,1,Low
3500385,46.13466415694821,3657,1,1,1,Low
3552184,44.79578382408701,3773,0,0,1,Low
4984061,62.14191767474376,5258,1,4,1,High
5256880,48.722810240733835,5561,1,3,0,High
3426207,50.62860837177297,3570,0,0,1,Low
3808703,55.33694823393662,4015,0,0,0,Low
4272612,54.613767376923064,4526,1,1,1,Low
3907301,46.07487401146787,4066,1,1,1,Low
3151415,39.90213759082498,3290,0,0,1,Low
3385357,45.95068000790222,3610,0,1,0,Low
4308980,40.81441717332376,4510,0,0,1,Low
3565705,54.16770929894088,3710,0,1,0,Low
3491558,41.648663745934265,3722,0,0,1,Low
3232734,42.46583138532946,3431,0,0,1,Low
5539256,47.81352356762599,5833,3,4,0,High
3158095,51.361635959933345,3310,0,1,0,Low
4080663,56.98822058981465,4254,2,4,0,High
4760515,56.18571272248276,4991,0,0,0,Low
3887089,45.2387144455377,4114,0,0,1,Low
4192672,46.293447083319165,4401,0,0,1,Low
3440791,54.37669401124928,3622,0,1,1,Low
3501598,44.85084323805339,3651,0,0,1,Low
2980261,46.58262783838619,3110,0,0,1,Low
4002643,54.515017258111385,4180,3,2,0,High
2823439,52.03626756245186,2957,0,1,0,Low
3341851,54.95200214004781,3531,0,0,1,Low
4138650,34.83967314952319,4340,0,0,1,Low
3302610,47.322261208625335,3490,0,1,1,Low
5348948,44.0224497002353,5633,4,2,0,High
3332989,43.34294661061268,3511,0,0,1,Low
3612051,50.59705878623852,3795,0,0,0,Low
2310040,46.50569663280188,2417,2,1,1,Low
3265080,46.84936972864962,3446,1,0,0,Low
2474473,49.8604129432509,2556,1,0,1,Low
4160615,48.29952609084672,4399,1,0,1,Low
4558260,51.886043501958426,4805,3,2,0,High
2350620,41.28233913483439,2462,0,1,0,Low
4210977,36.46938314102748,4419,0,0,1,Low
3073076,43.04638881940963,3231,1,0,1,Low
4098744,45.26102634297543,4356,0,0,0,Low
3319979,53.60257245149951,3479,1,0,1,Low
4504340,56.44275251840009,4740,3,5,1,High
3256795,49.291431679126205,3405,0,0,0,Low
3606532,43.60407749719545,3770,1,0,1,Low
4849200,49.01347264385231,5073,5,9,0,High
4211111,59.692809391503516,4411,0,0,0,Low
3333387,41.3094911575482,3546,0,0,1,Low
3826019,46.89693564797511,4033,0,0,1,Low
3189202,40.000697676294024,3360,0,0,1,Low
4552327,50.298450956461004,4774,4,3,1,High
3019264,47.68972325663837,3145,1,0,1,Low
2621106,51.423508200719155,2714,0,0,1,Low
3643790,56.88448612034882,3795,1,0,0,Low
4953348,51.940223682315704,5215,2,8,1,High
3652225,49.38858509791476,3834,1,0,1,Low
3206627,48.46039715635774,3399,1,1,1,Low
3872078,52.242677753772064,4075,1,2,1,Low
4271694,37.981739802574566,4453,0,0,1,Low
3052270,50.119338405281134,3185,2,1,1,Low
3332446,49.86383459738873,3526,0,0,0,Low
3756340,43.001233313556455,3940,1,2,1,Low
2466020,41.24988560051615,2630,1,0,1,Low
3098904,56.07714834094095,3284,1,0,1,Low
5514759,50.787629121233095,5842,7,6,0,High
3890780,49.337338425307415,4093,1,0,1,Low
5128211,55.7363654185752,5398,4,3,1,High
4620354,50.97043490080899,4848,6,2,0,High
4494262,48.45380467964159,4747,6,3,1,High
3797258,35.55431507802246,4010,0,0,1,Low
4319965,46.666553576925914,4545,0,0,1,Low
4984458,52.046606830740984,5292,2,5,0,High
4205306,50.422398202405304,4386,0,4,0,High
3824273,48.25357838978987,4033,0,0,1,Low
3689605,58.00747152580477,3838,0,0,1,Low
3968672,38.82184537799007,4220,0,0,1,Low
5473336,53.49248958836404,5737,5,7,1,High
5542797,49.732355308996844,5784,3,2,0,High
4012443,42.031369692409825,4214,1,0,1,Low
4569299,51.18378485150729,4833,3,2,0,High
4392341,55.25169240355978,4648,1,4,0,High
3787624,52.38052070063041,3941,0,0,1,Low
4400763,44.75082088300617,4620,3,6,0,High
5169323,45.06485169382453,5485,5,3,1,High
2911885,44.30558599817066,3045,0,1,1,Low
2800982,52.287733205028225,2910,0,0,1,Low
3767253,50.7417370930327,3958,0,0,1,Low
4077745,51.02200523269317,4259,1,0,1,Low
4286771,46.19690591701721,4503,0,0,1,Low
3051029,47.881915474030386,3197,0,0,0,Low
4628681,52.72710887947869,4836,1,3,0,High
4826171,55.576386703814826,5115,4,6,0,High
4387193,52.86179415563311,4637,8,5,0,High
4583680,54.603971085299996,4870,1,0,1,Low
2718926,51.01489249426741,2907,0,0,1,Low
3552716,51.511504953253606,3777,1,1,1,Low
3290289,52.41686068819688,3422,0,0,1,Low
3674873,33.17602030272359,3906,1,0,1,Low
4755163,46.92421106144693,4997,4,7,1,High
2881178,51.93340439053102,3004,0,0,1,Low
4010098,57.08442307232961,4193,1,0,1,Low
3427023,47.70560682919593,3574,0,1,0,Low
3701843,33.27279055908391,3921,2,0,1,Low
5054089,49.66478893232007,5323,4,2,0,High
3097373,56.54017042578298,3224,0,0,0,Low
3928229,47.916827192974374,4163,2,0,0,Low
4177187,49.32730913123378,4359,6,5,0,High
3333288,56.290050633414566,3546,1,0,0,Low
3221767,51.10326129695376,3419,1,0,1,Low
3733450,43.6756372251006,3947,0,0,1,Low
3206857,51.752856001824306,3374,0,0,1,Low
3829663,42.45543691779489,4036,0,2,0,Low
3028698,38.591635443286506,3183,0,0,1,Low
3588506,40.64527206268986,3750,1,0,0,Low
4345923,50.31119726078102,4623,1,3,1,High
4129358,48.83757014864996,4365,0,0,1,Low
3804857,49.683000137518995,3971,0,0,0,Low
4432782,48.38999643498153,4703,0,0,1,Low
3085428,48.12999247022138,3200,0,0,0,Low
5070220,50.816630340540506,5360,4,3,1,High
5519977,56.30250717607064,5769,5,5,1,High
3960903,46.35135555703627,4173,1,1,1,Low
4114591,55.226803249521886,4337,1,1,1,Low
3127878,43.04538542719105,3290,0,0,1,Low
3708357,47.61550274058694,3921,0,0,0,Low
4979424,56.09656473060825,5289,6,4,0,High
3565875,50.17470521175366,3784,1,0,1,Low
4451117,54.448157257904235,4720,8,2,0,High
3412644,40.521958238274756,3568,0,0,1,Low
3473698,50.63105769335699,3684,1,0,1,Low
4687539,49.490155334097196,4918,5,4,1,High
3762972,53.570332074817024,3993,0,0,1,Low
6458791,54.97787269201503,6827,2,4,0,High
3791673,46.03717772017036,3961,1,0,1,Low
3712719,53.83418652340383,3900,1,0,1,Low
3436421,53.858986216637334,3618,2,0,1,Low
4362275,51.35305500910948,4593,7,4,1,High
4166730,56.66916286953512,4404,5,1,1,High
3850565,42.52317308039283,4056,0,0,1,Low
3955913,40.007010106828766,4202,0,1,1,Low
3875234,47.68168804844937,4072,1,0,1,Low
3630328,55.9052449141044,3804,0,1,1,Low
3754947,52.54435627139482,3966,0,1,1,Low
3112150,49.674538110344045,3270,1,0,1,Low
3454160,51.30855942440214,3624,0,0,1,Low
4443722,47.38688938635437,4725,1,3,1,High
2371081,47.41538474399266,2538,0,0,0,Low
2631636,50.03083863187267,2720,0,0,0,Low
3839982,53.745720572362,4071,0,0,1,Low
5076059,46.73401544278524,5323,9,6,0,High
4231792,43.0409370241941,4415,0,0,0,Low
3713719,37.1606435625927,3954,1,2,1,Low
3626184,57.06638276569578,3814,0,1,1,Low
3914471,49.18537449073967,4157,6,3,0,High
3449892,46.70116122360908,3658,0,0,1,Low
3552271,47.13188543554594,3780,0,0,1,Low
3439808,50.694469030626784,3615,1,0,0,Low
3147819,49.229143801306144,3288,1,0,1,Low
3061965,43.19438565782225,3234,0,1,1,Low
4354651,52.22252049506315,4562,6,4,0,High
3061854,53.143367859913035,3210,1,1,1,Low
3875560,36.65843881987698,4093,1,1,1,Low
5889672,51.94759838107258,6196,3,6,0,High
3233159,50.079638042835,3428,0,0,1,Low
3453021,37.753883753178926,3677,0,0,1,Low
2814073,51.64231050645502,2995,0,0,1,Low
3378315,49.23838133806223,3595,0,0,1,Low
3730614,44.90739081191169,3882,0,0,1,Low
4289871,59.13037853725834,4533,3,2,1,High
4204717,48.11531311330362,4463,0,0,1,Low
4228879,53.526548270808135,4499,3,2,1,High
3838470,41.807656119675684,4088,0,0,1,Low
3628012,45.89371045516667,3773,1,0,0,Low
3834459,44.42243469273028,4027,1,0,1,Low
3048589,53.01303754052392,3176,0,1,1,Low
4642018,43.120043649774495,4913,4,6,1,High
2906049,47.90351932403769,3095,0,0,1,Low
3664961,48.39485588049927,3848,0,0,1,Low
3453700,36.78615554503874,3589,0,0,0,Low
4021611,35.33986331887726,4243,0,0,1,Low
3037821,50.21150004286855,3184,0,1,1,Low
3688941,46.816259465279586,3852,1,0,0,Low
5216920,55.37552475229029,5524,6,4,0,High
3352976,44.10087723730927,3552,0,1,0,Low
3791343,40.00623075887047,4014,0,0,1,Low
4715538,51.49886832835674,4915,3,3,1,High
4399389,53.824813276606974,4676,7,2,0,High
3873186,47.78809884243063,4083,0,0,1,Low
3530655,60.06372379924914,3681,1,1,1,Low
3875480,38.97579980873546,4117,0,0,0,Low
4525754,55.83970241577028,4793,0,1,1,Low
5140615,55.713749563790245,5392,4,5,0,High
3957832,52.01720546133603,4133,0,1,1,Low
3049200,35.07020317688587,3198,0,0,0,Low
3557191,50.24067213266664,3741,1,0,1,Low
5117402,53.1319472385824,5345,2,1,0,High
3564723,46.54490130284387,3786,0,0,0,Low
5286942,53.21944333003589,5536,5,3,0,High
4663183,53.15377290291199,4924,3,7,0,High
4425411,49.17236873840381,4700,5,5,0,High
3164883,60.67435996988657,3356,0,0,0,Low
4973993,46.53783257811687,5211,2,1,1,High
3697460,38.88139270313977,3879,1,0,0,Low
3367348,49.763049877102986,3518,1,1,1,Low
3763292,54.61809284801744,4008,1,0,1,Low
3528977,37.11331579642471,3747,1,0,1,Low
4846250,59.66619710149494,5134,1,1,1,High
3261740,60.518530290377406,3388,0,0,0,Low
5001328,51.71815863813602,5302,1,2,1,High
